grid,percentages,land_use
7121,43.37,agriculture
7122,52.39,agriculture
7123,39.23,agriculture
7124,37.46,agriculture
7125,63.77,agriculture
7126,42.43,agriculture
7127,46.44,agriculture
7128,62,agriculture
7129,84.67,agriculture
7130,62.64,agriculture
7131,47.43,agriculture
7132,37.51,agriculture
7133,47.88,agriculture
7134,48.33,agriculture
7135,59.35,agriculture
7136,69.22,agriculture
7137,52.29,agriculture
7138,63.47,agriculture
7139,75.63,agriculture
7140,75.58,agriculture
7141,77.12,agriculture
7142,77.11,agriculture
7143,54.22,agriculture
7144,35.36,agriculture
7145,40.17,agriculture
7146,44.79,agriculture
7147,31.19,agriculture
7148,6.86,agriculture
7213,5.39,agriculture
7214,50.9,agriculture
7215,18.38,agriculture
7216,11.07,agriculture
7217,7.57,agriculture
7218,35.11,agriculture
7219,51.33,agriculture
7220,10.94,agriculture
7221,36.72,agriculture
7222,31.98,agriculture
7223,33.32,agriculture
7224,48.39,agriculture
7225,35.91,agriculture
7226,18.74,agriculture
7227,38,agriculture
7228,50.95,agriculture
7229,58.67,agriculture
7230,47.31,agriculture
7231,59.06,agriculture
7232,47.27,agriculture
7233,55.8,agriculture
7234,46.11,agriculture
7235,59.03,agriculture
7236,32.86,agriculture
7237,70.49,agriculture
7238,65.63,agriculture
7239,65.77,agriculture
7240,57.99,agriculture
7241,69.36,agriculture
7242,87.68,agriculture
7243,70.17,agriculture
7244,60.35,agriculture
7245,44.81,agriculture
7246,49.01,agriculture
7247,53,agriculture
7248,38.14,agriculture
7249,0.01,agriculture
7312,0.19,agriculture
7313,44.23,agriculture
7314,61.58,agriculture
7315,5.87,agriculture
7316,6.61,agriculture
7317,22.9,agriculture
7318,43.73,agriculture
7319,43.95,agriculture
7320,29.31,agriculture
7321,49.18,agriculture
7322,48.98,agriculture
7323,56.51,agriculture
7324,43.39,agriculture
7325,61.14,agriculture
7326,35.07,agriculture
7327,44.65,agriculture
7328,64.99,agriculture
7329,58.37,agriculture
7330,70.66,agriculture
7331,73.6,agriculture
7332,74.44,agriculture
7333,83.54,agriculture
7334,69.4,agriculture
7335,58.24,agriculture
7336,61.37,agriculture
7337,67.15,agriculture
7338,67.21,agriculture
7339,66.15,agriculture
7340,63.82,agriculture
7341,64.69,agriculture
7342,71.3,agriculture
7343,72.79,agriculture
7344,68.58,agriculture
7345,52.09,agriculture
7346,51.79,agriculture
7347,46.5,agriculture
7348,42.23,agriculture
7349,0.09,agriculture
7412,7.02,agriculture
7413,65.28,agriculture
7414,49.55,agriculture
7415,6.87,agriculture
7416,15.21,agriculture
7417,34.2,agriculture
7418,51.91,agriculture
7419,60.06,agriculture
7420,26.75,agriculture
7421,49.63,agriculture
7422,44.16,agriculture
7423,49.5,agriculture
7424,60.96,agriculture
7425,51.36,agriculture
7426,64.19,agriculture
7427,63.29,agriculture
7428,64.29,agriculture
7429,72.33,agriculture
7430,66.17,agriculture
7431,59.11,agriculture
7432,63.76,agriculture
7433,59.75,agriculture
7434,62.77,agriculture
7435,66.14,agriculture
7436,70.14,agriculture
7437,67.27,agriculture
7438,53.42,agriculture
7439,58.77,agriculture
7440,62.9,agriculture
7441,59.61,agriculture
7442,63.42,agriculture
7443,59.83,agriculture
7444,69.83,agriculture
7445,61.69,agriculture
7446,29.42,agriculture
7447,14.05,agriculture
7448,22.05,agriculture
7512,25.17,agriculture
7513,51.43,agriculture
7514,19.29,agriculture
7515,9.49,agriculture
7516,21.87,agriculture
7517,49.55,agriculture
7518,58.41,agriculture
7519,51.89,agriculture
7520,44.3,agriculture
7521,35.96,agriculture
7522,42.64,agriculture
7523,39.77,agriculture
7524,53.6,agriculture
7525,53.96,agriculture
7526,62.94,agriculture
7527,53.69,agriculture
7528,62.02,agriculture
7529,36.04,agriculture
7530,35.35,agriculture
7531,62.01,agriculture
7532,56.36,agriculture
7533,64.94,agriculture
7534,65.78,agriculture
7535,63.24,agriculture
7536,65.56,agriculture
7537,65.96,agriculture
7538,70.56,agriculture
7539,72.45,agriculture
7540,69.75,agriculture
7541,72.22,agriculture
7542,67.22,agriculture
7543,62.79,agriculture
7544,64.06,agriculture
7545,68.83,agriculture
7546,45.29,agriculture
7612,31.52,agriculture
7613,33.88,agriculture
7614,31.62,agriculture
7615,11.99,agriculture
7616,29.46,agriculture
7617,51.2,agriculture
7618,45.24,agriculture
7619,48.44,agriculture
7620,44.93,agriculture
7621,53.24,agriculture
7622,47.71,agriculture
7623,55.72,agriculture
7624,44.65,agriculture
7625,49.24,agriculture
7626,60.14,agriculture
7627,64.61,agriculture
7628,54.39,agriculture
7629,54.49,agriculture
7630,45.26,agriculture
7631,34.88,agriculture
7632,62.42,agriculture
7633,69.36,agriculture
7634,75.88,agriculture
7635,76.54,agriculture
7636,64.31,agriculture
7637,79.06,agriculture
7638,70.55,agriculture
7639,78.99,agriculture
7640,73.48,agriculture
7641,71.11,agriculture
7642,69.41,agriculture
7643,68.83,agriculture
7644,59.87,agriculture
7645,67.02,agriculture
7646,15.11,agriculture
7711,0.08,agriculture
7712,56.68,agriculture
7713,24.09,agriculture
7714,33.07,agriculture
7715,21.11,agriculture
7716,35.71,agriculture
7717,57.37,agriculture
7718,51.77,agriculture
7719,34.87,agriculture
7720,27.25,agriculture
7721,52.04,agriculture
7722,45.04,agriculture
7723,53.59,agriculture
7724,66.75,agriculture
7725,63.88,agriculture
7726,52.32,agriculture
7727,53.85,agriculture
7728,54.02,agriculture
7729,48.94,agriculture
7730,43.55,agriculture
7731,61.76,agriculture
7732,69.76,agriculture
7733,69.38,agriculture
7734,60.22,agriculture
7735,45.44,agriculture
7736,68.89,agriculture
7737,77.75,agriculture
7738,69,agriculture
7739,76.18,agriculture
7740,63.16,agriculture
7741,57.4,agriculture
7742,38.44,agriculture
7743,44.45,agriculture
7744,12.67,agriculture
7745,1.36,agriculture
7811,24.14,agriculture
7812,64.75,agriculture
7813,36.1,agriculture
7814,25.18,agriculture
7815,32.61,agriculture
7816,42.84,agriculture
7817,48.12,agriculture
7818,40.29,agriculture
7819,42.93,agriculture
7820,40.41,agriculture
7821,37.42,agriculture
7822,55.57,agriculture
7823,67.6,agriculture
7824,60.06,agriculture
7825,55.47,agriculture
7826,41.66,agriculture
7827,60.93,agriculture
7828,71.72,agriculture
7829,52.75,agriculture
7830,79.69,agriculture
7831,66.22,agriculture
7832,57.53,agriculture
7833,48.05,agriculture
7834,32.29,agriculture
7835,6,agriculture
7836,55.73,agriculture
7837,37.64,agriculture
7838,54.24,agriculture
7839,62.16,agriculture
7840,66.11,agriculture
7841,72.21,agriculture
7842,45.71,agriculture
7843,0.56,agriculture
7911,32.88,agriculture
7912,53.56,agriculture
7913,30.73,agriculture
7914,27.93,agriculture
7915,30.35,agriculture
7916,33.49,agriculture
7917,47.18,agriculture
7918,39.05,agriculture
7919,35.66,agriculture
7920,43.49,agriculture
7921,36.55,agriculture
7922,66.92,agriculture
7923,46.22,agriculture
7924,56.31,agriculture
7925,62.65,agriculture
7926,61.92,agriculture
7927,59.14,agriculture
7928,62.51,agriculture
7929,62.77,agriculture
7930,70.99,agriculture
7931,51.53,agriculture
7932,45.4,agriculture
7933,41.92,agriculture
7934,16.46,agriculture
7935,18.44,agriculture
7936,31.05,agriculture
7937,46.47,agriculture
7938,69.3,agriculture
7939,56.54,agriculture
7940,70.7,agriculture
7941,67.51,agriculture
7942,48.76,agriculture
7943,1.41,agriculture
8011,21.84,agriculture
8012,52.06,agriculture
8013,27.55,agriculture
8014,35.8,agriculture
8015,22,agriculture
8016,38.16,agriculture
8017,62.67,agriculture
8018,24.37,agriculture
8019,44.02,agriculture
8020,55.99,agriculture
8021,52.18,agriculture
8022,49.92,agriculture
8023,61.81,agriculture
8024,57.76,agriculture
8025,58.09,agriculture
8026,50.07,agriculture
8027,60.56,agriculture
8028,67.21,agriculture
8029,60.84,agriculture
8030,69.22,agriculture
8031,64.24,agriculture
8032,40.43,agriculture
8033,37.42,agriculture
8034,35.3,agriculture
8035,43.57,agriculture
8036,30.29,agriculture
8037,57.7,agriculture
8038,58.09,agriculture
8039,58.35,agriculture
8040,46.46,agriculture
8041,56.37,agriculture
8042,62.15,agriculture
8043,26.49,agriculture
8111,39.83,agriculture
8112,28.35,agriculture
8113,28.26,agriculture
8114,21.65,agriculture
8115,26.47,agriculture
8116,60.55,agriculture
8117,47.52,agriculture
8118,57.52,agriculture
8119,51.96,agriculture
8120,50.83,agriculture
8121,58.88,agriculture
8122,59.79,agriculture
8123,57.73,agriculture
8124,48.14,agriculture
8125,64.44,agriculture
8126,60.96,agriculture
8127,66.62,agriculture
8128,68.33,agriculture
8129,58.34,agriculture
8130,49.77,agriculture
8131,48.43,agriculture
8132,61.41,agriculture
8133,39.15,agriculture
8134,41.28,agriculture
8135,42.33,agriculture
8136,48.41,agriculture
8137,56.88,agriculture
8138,44.65,agriculture
8139,53,agriculture
8140,31.73,agriculture
8141,48.65,agriculture
8142,48.58,agriculture
8143,52.31,agriculture
8144,0.02,agriculture
8211,45.2,agriculture
8212,20.54,agriculture
8213,28.6,agriculture
8214,21.38,agriculture
8215,31.14,agriculture
8216,39.84,agriculture
8217,7.42,agriculture
8218,41.05,agriculture
8219,38.77,agriculture
8220,24.68,agriculture
8221,42.01,agriculture
8222,58.86,agriculture
8223,57.6,agriculture
8224,62.06,agriculture
8225,63.36,agriculture
8226,44.01,agriculture
8227,58.57,agriculture
8228,60.13,agriculture
8229,64.47,agriculture
8230,65.29,agriculture
8231,55.39,agriculture
8232,49.75,agriculture
8233,53.92,agriculture
8234,41.64,agriculture
8235,42.02,agriculture
8236,38.71,agriculture
8237,41.19,agriculture
8238,39.81,agriculture
8239,32.01,agriculture
8240,29.84,agriculture
8241,17.85,agriculture
8242,13.75,agriculture
8243,14.04,agriculture
8244,0.33,agriculture
8311,43.38,agriculture
8312,30.12,agriculture
8313,36.08,agriculture
8314,39.85,agriculture
8315,39.61,agriculture
8316,40.55,agriculture
8317,11.36,agriculture
8318,4.25,agriculture
8319,11.96,agriculture
8320,3.95,agriculture
8321,5.27,agriculture
8322,20.13,agriculture
8323,48.67,agriculture
8324,61.3,agriculture
8325,61.13,agriculture
8326,51.08,agriculture
8327,61.33,agriculture
8328,62.27,agriculture
8329,68.3,agriculture
8330,54.84,agriculture
8331,27.55,agriculture
8332,30.4,agriculture
8333,31.6,agriculture
8334,18.73,agriculture
8335,24.11,agriculture
8336,14.43,agriculture
8337,14.25,agriculture
8338,21.2,agriculture
8339,7.39,agriculture
8340,4.21,agriculture
8341,3.5,agriculture
8342,2,agriculture
8343,14.79,agriculture
8344,10.27,agriculture
8411,1.29,agriculture
8412,16.76,agriculture
8413,8.74,agriculture
8414,12.47,agriculture
8415,2.81,agriculture
8416,11.79,agriculture
8417,0.29,agriculture
8423,10.1,agriculture
8424,15.13,agriculture
8425,41.88,agriculture
8426,47.89,agriculture
8427,48.45,agriculture
8428,27.57,agriculture
8429,19.78,agriculture
8430,12.86,agriculture
8431,1.52,agriculture
8432,10.76,agriculture
8433,6.73,agriculture
8434,4.65,agriculture
8435,3.68,agriculture
8436,0.45,agriculture
8437,0.14,agriculture
8442,0.36,agriculture
8443,2.9,agriculture
8444,4.22,agriculture
8525,0.43,agriculture
8526,25.22,agriculture
8527,44.3,agriculture
8528,15.8,agriculture
8531,0.45,agriculture
8532,11.09,agriculture
8533,10.98,agriculture
8534,1.68,agriculture
8543,0.69,agriculture
8544,0.08,agriculture
8626,1.96,agriculture
8627,10.74,agriculture
8628,2.66,agriculture
8633,0.01,agriculture
8727,2.71,agriculture
916,1,builtUpAreas
1015,3.9,builtUpAreas
1016,2.71,builtUpAreas
1017,0.03,builtUpAreas
1018,0.28,builtUpAreas
1019,0.02,builtUpAreas
1115,1.23,builtUpAreas
1116,2.55,builtUpAreas
1117,1.38,builtUpAreas
1118,5.18,builtUpAreas
1119,7.38,builtUpAreas
1120,4.47,builtUpAreas
1121,1.56,builtUpAreas
1122,8.41,builtUpAreas
1123,5.28,builtUpAreas
1124,0.6,builtUpAreas
1215,0.6,builtUpAreas
1216,1.5,builtUpAreas
1217,1.13,builtUpAreas
1218,5.18,builtUpAreas
1219,13.63,builtUpAreas
1220,5.9,builtUpAreas
1221,9.18,builtUpAreas
1222,21.81,builtUpAreas
1223,7.65,builtUpAreas
1224,7.63,builtUpAreas
1225,4.02,builtUpAreas
1226,0.06,builtUpAreas
1315,0.2,builtUpAreas
1316,2.24,builtUpAreas
1317,2.6,builtUpAreas
1318,0.64,builtUpAreas
1319,8.74,builtUpAreas
1320,5.12,builtUpAreas
1321,5.38,builtUpAreas
1322,10.67,builtUpAreas
1323,7.32,builtUpAreas
1324,7.64,builtUpAreas
1325,8.63,builtUpAreas
1326,0.83,builtUpAreas
1344,0.01,builtUpAreas
1345,2.12,builtUpAreas
1346,1.87,builtUpAreas
1417,1.1,builtUpAreas
1418,0.85,builtUpAreas
1419,2.5,builtUpAreas
1420,7.24,builtUpAreas
1421,6.91,builtUpAreas
1422,8,builtUpAreas
1423,13.41,builtUpAreas
1424,5.57,builtUpAreas
1425,4.26,builtUpAreas
1426,0.33,builtUpAreas
1432,0.38,builtUpAreas
1433,0.07,builtUpAreas
1444,1.01,builtUpAreas
1445,2.05,builtUpAreas
1446,1.07,builtUpAreas
1447,5.38,builtUpAreas
1448,0.01,builtUpAreas
1517,0.07,builtUpAreas
1518,0.36,builtUpAreas
1519,3.02,builtUpAreas
1520,12.48,builtUpAreas
1521,4.9,builtUpAreas
1522,6.2,builtUpAreas
1523,8.42,builtUpAreas
1524,8.72,builtUpAreas
1525,8.39,builtUpAreas
1526,7.11,builtUpAreas
1527,3.38,builtUpAreas
1528,1.45,builtUpAreas
1532,3.7,builtUpAreas
1533,4.67,builtUpAreas
1540,0.03,builtUpAreas
1541,2.58,builtUpAreas
1542,2.3,builtUpAreas
1543,0.36,builtUpAreas
1544,0.67,builtUpAreas
1545,2.87,builtUpAreas
1546,5.39,builtUpAreas
1547,3.24,builtUpAreas
1617,2.5,builtUpAreas
1618,5.46,builtUpAreas
1619,5.3,builtUpAreas
1620,5.87,builtUpAreas
1621,5.26,builtUpAreas
1622,2.81,builtUpAreas
1623,12.33,builtUpAreas
1624,11.14,builtUpAreas
1625,6.86,builtUpAreas
1626,30.1,builtUpAreas
1627,16.5,builtUpAreas
1628,6.02,builtUpAreas
1629,4.44,builtUpAreas
1630,0.61,builtUpAreas
1631,5.63,builtUpAreas
1632,2.8,builtUpAreas
1640,1.9,builtUpAreas
1641,4.46,builtUpAreas
1642,6.18,builtUpAreas
1643,3.95,builtUpAreas
1644,11.2,builtUpAreas
1645,3.53,builtUpAreas
1646,4.82,builtUpAreas
1647,2.47,builtUpAreas
1648,2.94,builtUpAreas
1717,0.94,builtUpAreas
1718,0.71,builtUpAreas
1719,4.65,builtUpAreas
1720,9.7,builtUpAreas
1721,6.96,builtUpAreas
1722,3.9,builtUpAreas
1723,9.23,builtUpAreas
1724,7.17,builtUpAreas
1725,4.71,builtUpAreas
1726,13.84,builtUpAreas
1727,13.76,builtUpAreas
1728,4.03,builtUpAreas
1729,6.35,builtUpAreas
1730,4.14,builtUpAreas
1731,8.77,builtUpAreas
1732,2.51,builtUpAreas
1738,0.02,builtUpAreas
1739,2.25,builtUpAreas
1740,7.98,builtUpAreas
1741,4.85,builtUpAreas
1742,3.25,builtUpAreas
1743,3.33,builtUpAreas
1744,8.44,builtUpAreas
1745,3.24,builtUpAreas
1746,1.01,builtUpAreas
1748,0.45,builtUpAreas
1818,0.16,builtUpAreas
1819,5.82,builtUpAreas
1820,11.45,builtUpAreas
1821,7.36,builtUpAreas
1822,5.6,builtUpAreas
1823,5.17,builtUpAreas
1824,4.05,builtUpAreas
1825,10.6,builtUpAreas
1826,8.22,builtUpAreas
1827,5.39,builtUpAreas
1828,7.18,builtUpAreas
1829,11.18,builtUpAreas
1830,6.81,builtUpAreas
1831,5.98,builtUpAreas
1832,0.86,builtUpAreas
1835,0.94,builtUpAreas
1836,5.26,builtUpAreas
1837,6.08,builtUpAreas
1838,23.56,builtUpAreas
1839,8.8,builtUpAreas
1840,3.12,builtUpAreas
1841,4.61,builtUpAreas
1842,2.58,builtUpAreas
1843,3.51,builtUpAreas
1844,7.34,builtUpAreas
1845,3.49,builtUpAreas
1846,3.1,builtUpAreas
1847,3.93,builtUpAreas
1848,3.72,builtUpAreas
1849,0.37,builtUpAreas
1918,0.01,builtUpAreas
1919,2.27,builtUpAreas
1920,8.99,builtUpAreas
1921,6.22,builtUpAreas
1922,6.12,builtUpAreas
1923,5.62,builtUpAreas
1924,5.94,builtUpAreas
1925,18.2,builtUpAreas
1926,11.88,builtUpAreas
1927,8.7,builtUpAreas
1928,4.97,builtUpAreas
1929,5.51,builtUpAreas
1930,8.78,builtUpAreas
1931,0.8,builtUpAreas
1932,0.22,builtUpAreas
1933,0.05,builtUpAreas
1934,0.54,builtUpAreas
1935,2.35,builtUpAreas
1936,6.31,builtUpAreas
1937,6.51,builtUpAreas
1938,16.67,builtUpAreas
1939,10.03,builtUpAreas
1940,6,builtUpAreas
1941,2.37,builtUpAreas
1942,4.16,builtUpAreas
1943,3.25,builtUpAreas
1944,3.72,builtUpAreas
1945,4.38,builtUpAreas
1946,13.27,builtUpAreas
1947,3.86,builtUpAreas
1948,6.34,builtUpAreas
1949,4.59,builtUpAreas
1950,1.97,builtUpAreas
2016,0.06,builtUpAreas
2017,0.02,builtUpAreas
2019,3.33,builtUpAreas
2020,11.2,builtUpAreas
2021,8.55,builtUpAreas
2022,11.01,builtUpAreas
2023,13.13,builtUpAreas
2024,8.98,builtUpAreas
2025,9.62,builtUpAreas
2026,4.67,builtUpAreas
2027,14.13,builtUpAreas
2028,4.37,builtUpAreas
2029,5.42,builtUpAreas
2030,18.09,builtUpAreas
2031,6.62,builtUpAreas
2032,5,builtUpAreas
2033,3.96,builtUpAreas
2034,6.83,builtUpAreas
2035,4.89,builtUpAreas
2036,2.57,builtUpAreas
2037,4.84,builtUpAreas
2038,5.05,builtUpAreas
2039,3.73,builtUpAreas
2040,3.8,builtUpAreas
2041,2.37,builtUpAreas
2042,4.38,builtUpAreas
2043,3.7,builtUpAreas
2044,7.4,builtUpAreas
2045,6.2,builtUpAreas
2046,5.32,builtUpAreas
2047,3.79,builtUpAreas
2048,3.27,builtUpAreas
2049,1.99,builtUpAreas
2050,4.86,builtUpAreas
2051,1.45,builtUpAreas
2117,5.52,builtUpAreas
2118,13.46,builtUpAreas
2119,3.91,builtUpAreas
2120,4.59,builtUpAreas
2121,5.15,builtUpAreas
2122,7.79,builtUpAreas
2123,7.59,builtUpAreas
2124,5.51,builtUpAreas
2125,12.44,builtUpAreas
2126,7.39,builtUpAreas
2127,7.34,builtUpAreas
2128,10.58,builtUpAreas
2129,19.11,builtUpAreas
2130,26.61,builtUpAreas
2131,6.32,builtUpAreas
2132,3.5,builtUpAreas
2133,7.37,builtUpAreas
2134,11.09,builtUpAreas
2135,4.87,builtUpAreas
2136,4.46,builtUpAreas
2137,6.35,builtUpAreas
2138,4.35,builtUpAreas
2139,6.41,builtUpAreas
2140,3.95,builtUpAreas
2141,3.74,builtUpAreas
2142,3,builtUpAreas
2143,3.19,builtUpAreas
2144,3.86,builtUpAreas
2145,3.12,builtUpAreas
2146,3.33,builtUpAreas
2147,3.79,builtUpAreas
2148,6.89,builtUpAreas
2149,1.9,builtUpAreas
2150,1.34,builtUpAreas
2151,0.36,builtUpAreas
2208,1.03,builtUpAreas
2209,0.46,builtUpAreas
2210,1.3,builtUpAreas
2211,0.07,builtUpAreas
2212,0.69,builtUpAreas
2213,1.44,builtUpAreas
2214,0.18,builtUpAreas
2216,0.01,builtUpAreas
2217,8.21,builtUpAreas
2218,5.06,builtUpAreas
2219,6.18,builtUpAreas
2220,9.08,builtUpAreas
2221,6.09,builtUpAreas
2222,8.66,builtUpAreas
2223,12.87,builtUpAreas
2224,17.49,builtUpAreas
2225,20.79,builtUpAreas
2226,13.91,builtUpAreas
2227,11.65,builtUpAreas
2228,7.1,builtUpAreas
2229,6.84,builtUpAreas
2230,4.92,builtUpAreas
2231,3.53,builtUpAreas
2232,5.21,builtUpAreas
2233,4.33,builtUpAreas
2234,5.02,builtUpAreas
2235,3.5,builtUpAreas
2236,4.9,builtUpAreas
2237,3.04,builtUpAreas
2238,4.43,builtUpAreas
2239,6.37,builtUpAreas
2240,3.7,builtUpAreas
2241,4.97,builtUpAreas
2242,4.84,builtUpAreas
2243,3.93,builtUpAreas
2244,3.13,builtUpAreas
2245,3.95,builtUpAreas
2246,3.14,builtUpAreas
2247,3.5,builtUpAreas
2248,3.62,builtUpAreas
2249,2.32,builtUpAreas
2250,5.66,builtUpAreas
2251,0.75,builtUpAreas
2306,0.04,builtUpAreas
2307,0.38,builtUpAreas
2308,1.28,builtUpAreas
2309,6.95,builtUpAreas
2310,5.6,builtUpAreas
2311,7.73,builtUpAreas
2312,5.56,builtUpAreas
2313,5.57,builtUpAreas
2314,5.93,builtUpAreas
2315,0.22,builtUpAreas
2316,0.31,builtUpAreas
2317,10.4,builtUpAreas
2318,5.08,builtUpAreas
2319,4.49,builtUpAreas
2320,6.52,builtUpAreas
2321,9.69,builtUpAreas
2322,13.13,builtUpAreas
2323,9.52,builtUpAreas
2324,25.37,builtUpAreas
2325,40.29,builtUpAreas
2326,59.76,builtUpAreas
2327,23.15,builtUpAreas
2328,9.79,builtUpAreas
2329,5.54,builtUpAreas
2330,10.98,builtUpAreas
2331,2.78,builtUpAreas
2332,4.92,builtUpAreas
2333,5.66,builtUpAreas
2334,15.9,builtUpAreas
2335,3.58,builtUpAreas
2336,2.17,builtUpAreas
2337,3.55,builtUpAreas
2338,2.28,builtUpAreas
2339,2.87,builtUpAreas
2340,3.34,builtUpAreas
2341,2.34,builtUpAreas
2342,3.11,builtUpAreas
2343,4.21,builtUpAreas
2344,4.06,builtUpAreas
2345,5.31,builtUpAreas
2346,3.61,builtUpAreas
2347,4.93,builtUpAreas
2348,1.52,builtUpAreas
2349,4.38,builtUpAreas
2350,7.56,builtUpAreas
2351,1.78,builtUpAreas
2405,0.44,builtUpAreas
2406,2.12,builtUpAreas
2408,2.15,builtUpAreas
2409,16.89,builtUpAreas
2410,13.26,builtUpAreas
2411,8.03,builtUpAreas
2412,9.76,builtUpAreas
2413,17.87,builtUpAreas
2414,28.8,builtUpAreas
2415,2.57,builtUpAreas
2416,5.91,builtUpAreas
2417,31.09,builtUpAreas
2418,5.42,builtUpAreas
2419,4.37,builtUpAreas
2420,5.48,builtUpAreas
2421,7.04,builtUpAreas
2422,13.82,builtUpAreas
2423,9.5,builtUpAreas
2424,23.96,builtUpAreas
2425,58.52,builtUpAreas
2426,56.07,builtUpAreas
2427,24.3,builtUpAreas
2428,7.16,builtUpAreas
2429,5.8,builtUpAreas
2430,4.65,builtUpAreas
2431,5.41,builtUpAreas
2432,5.5,builtUpAreas
2433,4.93,builtUpAreas
2434,10.99,builtUpAreas
2435,6.76,builtUpAreas
2436,4.06,builtUpAreas
2437,3.31,builtUpAreas
2438,4.74,builtUpAreas
2439,1.76,builtUpAreas
2440,1.34,builtUpAreas
2441,5.03,builtUpAreas
2442,6.73,builtUpAreas
2443,4.04,builtUpAreas
2444,3.63,builtUpAreas
2445,17.23,builtUpAreas
2446,3.15,builtUpAreas
2447,3.51,builtUpAreas
2448,3.8,builtUpAreas
2449,5.15,builtUpAreas
2450,4.05,builtUpAreas
2451,1.58,builtUpAreas
2508,6.26,builtUpAreas
2509,6.97,builtUpAreas
2510,21.59,builtUpAreas
2511,12.23,builtUpAreas
2512,10.43,builtUpAreas
2513,11.01,builtUpAreas
2514,7.71,builtUpAreas
2515,1.29,builtUpAreas
2516,11.86,builtUpAreas
2517,8.69,builtUpAreas
2518,8.44,builtUpAreas
2519,4.96,builtUpAreas
2520,8.62,builtUpAreas
2521,6.17,builtUpAreas
2522,6.84,builtUpAreas
2523,11.28,builtUpAreas
2524,15.16,builtUpAreas
2525,32.15,builtUpAreas
2526,17.8,builtUpAreas
2527,22.15,builtUpAreas
2528,13.9,builtUpAreas
2529,6.3,builtUpAreas
2530,2.75,builtUpAreas
2531,3.44,builtUpAreas
2532,4.66,builtUpAreas
2533,6.23,builtUpAreas
2534,4.82,builtUpAreas
2535,1.82,builtUpAreas
2536,6.22,builtUpAreas
2537,6.06,builtUpAreas
2538,5.69,builtUpAreas
2539,4.94,builtUpAreas
2540,4.59,builtUpAreas
2541,2.39,builtUpAreas
2542,0.4,builtUpAreas
2543,1.43,builtUpAreas
2544,2.5,builtUpAreas
2545,4.45,builtUpAreas
2546,3.04,builtUpAreas
2547,3.8,builtUpAreas
2548,3,builtUpAreas
2549,4.25,builtUpAreas
2550,2.97,builtUpAreas
2551,4.7,builtUpAreas
2552,0.55,builtUpAreas
2607,0,builtUpAreas
2608,6.32,builtUpAreas
2609,15.84,builtUpAreas
2610,10.41,builtUpAreas
2611,11.73,builtUpAreas
2612,8.7,builtUpAreas
2613,7.51,builtUpAreas
2614,14.33,builtUpAreas
2615,6.79,builtUpAreas
2616,10.5,builtUpAreas
2617,5.16,builtUpAreas
2618,7.15,builtUpAreas
2619,5.73,builtUpAreas
2620,5.61,builtUpAreas
2621,8.06,builtUpAreas
2622,5.64,builtUpAreas
2623,5.18,builtUpAreas
2624,9.15,builtUpAreas
2625,22.48,builtUpAreas
2626,14.08,builtUpAreas
2627,12.7,builtUpAreas
2628,9.48,builtUpAreas
2629,8.02,builtUpAreas
2630,7.01,builtUpAreas
2631,3.63,builtUpAreas
2632,3.77,builtUpAreas
2633,3.2,builtUpAreas
2634,6.19,builtUpAreas
2635,6.38,builtUpAreas
2636,2.78,builtUpAreas
2637,3.37,builtUpAreas
2638,2.52,builtUpAreas
2639,4.17,builtUpAreas
2640,3.19,builtUpAreas
2641,4.29,builtUpAreas
2642,2.52,builtUpAreas
2643,1.23,builtUpAreas
2644,7.88,builtUpAreas
2645,2.2,builtUpAreas
2646,3.87,builtUpAreas
2647,2.6,builtUpAreas
2648,4.04,builtUpAreas
2649,8.44,builtUpAreas
2650,3.01,builtUpAreas
2651,2.86,builtUpAreas
2652,1.15,builtUpAreas
2709,2.52,builtUpAreas
2710,15.3,builtUpAreas
2711,9.27,builtUpAreas
2712,11.99,builtUpAreas
2713,12.42,builtUpAreas
2714,9.73,builtUpAreas
2715,12.41,builtUpAreas
2716,6.73,builtUpAreas
2717,12.04,builtUpAreas
2718,15.58,builtUpAreas
2719,9.34,builtUpAreas
2720,6.33,builtUpAreas
2721,7.74,builtUpAreas
2722,5.81,builtUpAreas
2723,6.32,builtUpAreas
2724,8.45,builtUpAreas
2725,7.01,builtUpAreas
2726,8.16,builtUpAreas
2727,5.3,builtUpAreas
2728,29.39,builtUpAreas
2729,6.89,builtUpAreas
2730,5.37,builtUpAreas
2731,4.73,builtUpAreas
2732,3.17,builtUpAreas
2733,3.19,builtUpAreas
2734,4.08,builtUpAreas
2735,4.71,builtUpAreas
2736,4.15,builtUpAreas
2737,3.11,builtUpAreas
2738,3.96,builtUpAreas
2739,4.21,builtUpAreas
2740,3.15,builtUpAreas
2741,2.97,builtUpAreas
2742,3.5,builtUpAreas
2743,3.06,builtUpAreas
2744,1.15,builtUpAreas
2745,2.8,builtUpAreas
2746,1.34,builtUpAreas
2747,3.52,builtUpAreas
2748,3.68,builtUpAreas
2749,3.41,builtUpAreas
2750,3.59,builtUpAreas
2751,3.52,builtUpAreas
2752,2.85,builtUpAreas
2809,9.73,builtUpAreas
2810,14.94,builtUpAreas
2811,17.14,builtUpAreas
2812,12.96,builtUpAreas
2813,13.15,builtUpAreas
2814,19.29,builtUpAreas
2815,37.37,builtUpAreas
2816,9.01,builtUpAreas
2817,21.73,builtUpAreas
